PERIODO,GENERAL,SUBYACENTE,NO_SUBYACENTE
1982-01-01,0.086,0.093,0.067
1982-02-01,0.089,0.097,0.069
1982-03-01,0.092,0.101,0.07
1982-04-01,0.098,0.107,0.073
1982-05-01,0.103,0.113,0.076
1982-06-01,0.108,0.119,0.078
1982-07-01,0.114,0.125,0.083
1982-08-01,0.126,0.137,0.097
1982-09-01,0.133,0.145,0.101
1982-10-01,0.14,0.153,0.104
1982-11-01,0.147,0.162,0.107
1982-12-01,0.163,0.175,0.13
1983-01-01,0.18,0.195,0.14
1983-02-01,0.19,0.207,0.144
1983-03-01,0.199,0.218,0.15
1983-04-01,0.212,0.23,0.163
1983-05-01,0.221,0.24,0.17
1983-06-01,0.229,0.249,0.176
1983-07-01,0.241,0.264,0.179
1983-08-01,0.25,0.277,0.181
1983-09-01,0.258,0.286,0.185
1983-10-01,0.266,0.295,0.192
1983-11-01,0.282,0.312,0.203
1983-12-01,0.294,0.326,0.212
1984-01-01,0.313,0.343,0.232
1984-02-01,0.329,0.363,0.24
1984-03-01,0.343,0.379,0.251
1984-04-01,0.358,0.392,0.269
1984-05-01,0.37,0.403,0.282
1984-06-01,0.383,0.42,0.288
1984-07-01,0.396,0.435,0.294
1984-08-01,0.407,0.447,0.303
1984-09-01,0.419,0.463,0.305
1984-10-01,0.434,0.483,0.309
1984-11-01,0.449,0.499,0.321
1984-12-01,0.468,0.52,0.335
1985-01-01,0.503,0.547,0.385
1985-02-01,0.524,0.572,0.396
1985-03-01,0.544,0.598,0.403
1985-04-01,0.561,0.615,0.419
1985-05-01,0.574,0.632,0.422
1985-06-01,0.588,0.65,0.427
1985-07-01,0.609,0.673,0.442
1985-08-01,0.635,0.704,0.459
1985-09-01,0.661,0.735,0.47
1985-10-01,0.686,0.766,0.48
1985-11-01,0.717,0.802,0.5
1985-12-01,0.766,0.838,0.577
1986-01-01,0.834,0.91,0.633
1986-02-01,0.871,0.958,0.645
1986-03-01,0.912,1.008,0.661
1986-04-01,0.959,1.063,0.69
1986-05-01,1.013,1.125,0.721
1986-06-01,1.078,1.205,0.752
1986-07-01,1.131,1.265,0.789
1986-08-01,1.222,1.337,0.916
1986-09-01,1.295,1.421,0.962
1986-10-01,1.369,1.515,0.99
1986-11-01,1.461,1.618,1.056
1986-12-01,1.577,1.742,1.146
1987-01-01,1.704,1.887,1.231
1987-02-01,1.827,2.029,1.306
1987-03-01,1.948,2.172,1.373
1987-04-01,2.119,2.33,1.566
1987-05-01,2.278,2.498,1.7
1987-06-01,2.443,2.685,1.81
1987-07-01,2.641,2.916,1.927
1987-08-01,2.857,3.129,2.139
1987-09-01,3.045,3.363,2.218
1987-10-01,3.299,3.658,2.371
1987-11-01,3.561,3.998,2.447
1987-12-01,4.086,4.496,3.016
1988-01-01,4.718,5.089,3.71
1988-02-01,5.112,5.618,3.786
1988-03-01,5.374,5.954,3.872
1988-04-01,5.539,6.126,4.016
1988-05-01,5.646,6.244,4.094
1988-06-01,5.761,6.33,4.271
1988-07-01,5.857,6.392,4.441
1988-08-01,5.911,6.456,4.47
1988-09-01,5.945,6.47,4.546
1988-10-01,5.99,6.511,4.599
1988-11-01,6.071,6.566,4.732
1988-12-01,6.197,6.688,4.866
1989-01-01,6.349,6.901,4.875
1989-02-01,6.435,7.04,4.839
1989-03-01,6.505,7.136,4.846
1989-04-01,6.602,7.223,4.964
1989-05-01,6.693,7.298,5.086
1989-06-01,6.774,7.366,5.194
1989-07-01,6.842,7.434,5.26
1989-08-01,6.907,7.52,5.274
1989-09-01,6.973,7.635,5.229
1989-10-01,7.077,7.771,5.254
1989-11-01,7.176,7.892,5.302
1989-12-01,7.418,8.122,5.562
1990-01-01,7.776,8.435,6.008
1990-02-01,7.952,8.59,6.225
1990-03-01,8.092,8.721,6.38
1990-04-01,8.215,8.892,6.391
1990-05-01,8.359,9.098,6.39
1990-06-01,8.543,9.326,6.468
1990-07-01,8.699,9.513,6.548
1990-08-01,8.847,9.685,6.638
1990-09-01,8.973,9.843,6.687
1990-10-01,9.102,10.001,6.746
1990-11-01,9.344,10.217,7.037
1990-12-01,9.638,10.507,7.329
1991-01-01,9.884,10.788,7.488
1991-02-01,10.056,10.997,7.573
1991-03-01,10.2,11.16,7.665
1991-04-01,10.307,11.282,7.734
1991-05-01,10.407,11.39,7.816
1991-06-01,10.517,11.497,7.925
1991-07-01,10.61,11.6,7.993
1991-08-01,10.683,11.706,7.992
1991-09-01,10.79,11.868,7.968
1991-10-01,10.915,12.032,8.002
1991-11-01,11.186,12.147,8.616
1991-12-01,11.45,12.362,8.976
1992-01-01,11.658,12.59,9.131
1992-02-01,11.796,12.729,9.263
1992-03-01,11.916,12.844,9.39
1992-04-01,12.022,12.964,9.462
1992-05-01,12.101,13.121,9.363
1992-06-01,12.183,13.252,9.333
1992-07-01,12.26,13.36,9.336
1992-08-01,12.336,13.476,9.317
1992-09-01,12.443,13.627,9.323
1992-10-01,12.532,13.718,9.407
1992-11-01,12.637,13.816,9.52
1992-12-01,12.817,13.952,9.791
1993-01-01,12.977,14.127,9.913
1993-02-01,13.083,14.285,9.899
1993-03-01,13.16,14.43,9.819
1993-04-01,13.235,14.526,9.846
1993-05-01,13.311,14.591,9.944
1993-06-01,13.386,14.653,10.043
1993-07-01,13.45,14.714,10.113
1993-08-01,13.522,14.809,10.131
1993-09-01,13.622,14.927,10.188
1993-10-01,13.678,15.015,10.168
1993-11-01,13.738,15.07,10.239
1993-12-01,13.843,15.126,10.448
1994-01-01,13.95,15.226,10.57
1994-02-01,14.022,15.354,10.512
1994-03-01,14.094,15.467,10.49
1994-04-01,14.163,15.564,10.494
1994-05-01,14.232,15.653,10.513
1994-06-01,14.303,15.735,10.557
1994-07-01,14.366,15.79,10.637
1994-08-01,14.433,15.869,10.674
1994-09-01,14.536,15.998,10.714
1994-10-01,14.612,16.079,10.776
1994-11-01,14.69,16.163,10.84
1994-12-01,14.819,16.288,10.971
1995-01-01,15.377,16.89,11.409
1995-02-01,16.029,17.662,11.766
1995-03-01,16.974,18.498,12.846
1995-04-01,18.326,19.9,14.014
1995-05-01,19.092,20.883,14.297
1995-06-01,19.698,21.595,14.651
1995-07-01,20.1,22.046,14.928
1995-08-01,20.433,22.457,15.085
1995-09-01,20.856,22.982,15.276
1995-10-01,21.285,23.384,15.733
1995-11-01,21.81,23.86,16.321
1995-12-01,22.52,24.53,17.069
1996-01-01,23.33,25.326,17.855
1996-02-01,23.874,25.926,18.253
1996-03-01,24.4,26.531,18.586
1996-04-01,25.093,27.262,19.162
1996-05-01,25.551,27.757,19.514
1996-06-01,25.967,28.235,19.781
1996-07-01,26.336,28.659,20.016
1996-08-01,26.686,29.045,20.272
1996-09-01,27.113,29.552,20.51
1996-10-01,27.451,29.888,20.833
1996-11-01,27.867,30.248,21.335
1996-12-01,28.759,30.895,22.661
1997-01-01,29.499,31.667,23.289
1997-02-01,29.995,32.216,23.645
1997-03-01,30.368,32.629,23.917
1997-04-01,30.696,33.043,24.052
1997-05-01,30.976,33.469,24.023
1997-06-01,31.251,33.824,24.12
1997-07-01,31.523,34.101,24.364
1997-08-01,31.804,34.375,24.64
1997-09-01,32.2,34.867,24.819
1997-10-01,32.457,35.188,24.932
