Entidad,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aguascalientes,74478826000.0,82816058000.0,83133483000.0,78800571000.0,82466825000.0,84980153000.0,81602733000.0,84379078000.0,86482199000.0,91061619000.0,97895019000.0,103728741000.0,109843958000.0,114706122000.0,121683610000.0,116418715000.0,124298764000.0,133594837000.0,143027444000.0,145644385000.0,158299884000.00003,167309350000.0,174918428000.0,176576721000.0,182404561000.0,185650542000.0,200318265000.00003,219091899000.0,218472947000.0,201960396000.00003,219912906000.0,230510398000.0,242758409000.00003,251657007000.0,277675258000.00006,294497175000.00006,307395841000.00006,314242379000.0,327926307000.0,329358364000.00006,307125683000.0,315233120000.0,314602247000.0,334294523000.0
Baja California,400156971000.0,451676827000.0,446781453000.0,406200113000.0,425488625000.0,437529217000.0,402275154000.0,414361763000.0,417816039000.0,436724078000.0,467382396000.0,487452211000.0,511546295000.0,513177249000.0,548270478000.0,494337737000.0,558044575000.0,631004251000.0,662820821999.9999,720343964000.0,790646793000.0,730554237000.0,696088199000.0,682996928000.0001,697268689000.0,716802171000.0001,772686808000.0,778767048000.0,756707319000.0001,658790712000.0,686065864999.9999,698850507000.0001,726418106000.0001,733753711000.0,760856967000.0,795080747000.0,828692247000.0001,863600649000.0001,878816867999.9999,893946249000.0,839693340000.0,896313559000.0,919300278000.0,951029428000.0
Baja California Sur,53015906000.0,57736198999.99999,58188199000.0,57232819000.0,59391459000.0,60739522000.0,59879334000.0,61326620000.0,62347413000.0,65210463000.0,67808263999.99999,71483582000.00002,74828893000.0,72837861000.0,75145064000.0,72405422000.0,80971992999.99998,84520690000.0,86993272000.0,89307071000.0,95187276000.0,99668467000.0,97301797000.0,102696425000.0,110723357000.0,117708461999.99998,126685370000.0,137545254999.99997,142084053999.99994,134464676000.0,138668832000.0,144956375000.0,147269702000.0,145215690000.0,147613684000.0,156072034000.0,163094648000.0,170784403000.00003,184618103000.00003,177860750000.0,151931290000.0,171064574999.99997,178129824000.00003,181120095000.0
Campeche,511362336000.0,560971276000.0001,559721988000.0,523134528000.0,546199162000.0,566378356000.0,548649861999.99994,570391173000.0,588026452000.0,614610518000.0,649387919000.0,671524501000.0,692158838000.0,687476866000.0,713798595000.0,678258361000.0,734002007000.0,777814215000.0001,808927143000.0,763456631000.0,826278190000.0,892409088000.0,913435104000.0,986877724000.0,998062315000.0,985831295000.0,959641063000.0,897799855000.0001,828677168000.0001,753908784000.0,730232324000.0001,711663191000.0,691262004000.0001,692549897000.0,685992024999.9999,700310741000.0001,663239242000.0,595666960000.0,564591056000.0,541962926000.0,500514726000.0,489604295000.0,472680024000.0,514860222000.0
Coahuila,362298762000.0,401419870000.0,400947441000.0,372296472000.0,388155755000.0,399779403000.0,375949169000.0,384635713000.0001,387781177000.0,400158299000.0,423114632000.0,437256445000.0,460053092000.0,470418456000.0,479739942000.0,466715135000.0,541594610000.0,593148483000.0,627310172000.0,640331195000.0001,655490870000.0,657960994000.0,693560014000.0001,725622352000.0,738323009000.0,751258282999.9999,798549101000.0,819995320000.0001,806977054000.0001,647795108000.0,775118743000.0,824838467000.0001,870634531000.0,864429382999.9999,902863241000.0,897702095000.0,901719484000.0,941581763000.0,966054662000.0,953384334000.0,843597571000.0,921586983000.0,935841223000.0,929917345000.0
Colima,63715010000.0,69001929000.0,69593669000.0,68026277000.0,70501030999.99998,72487649000.0,71375438000.00002,73308392000.0,74614038999.99998,76928025000.0,80232039000.0,82613489000.0,84539724000.0,86396612000.0,90021397000.0,85408456000.0,91716411000.0,95885862000.0,103304324000.0,106422374000.0,110550510000.0,108484812000.0,109196395000.0,106240461000.0,107179093000.0,107631263000.0,114843833000.0,122046013000.0,124498006000.00003,118472235000.0,125595851000.0,133676159000.00005,135599864999.99998,133729296000.00003,135090725000.0,141029129000.00003,140705237999.99997,150360096000.0,153808394000.0,161109858000.0,148143273000.0,147667296000.0,148438434000.0,154588879999.99994
Chiapas,200061470000.0,212022284000.0,213802066000.0,211467230000.0,217413498000.0,221924469000.0,221017022000.0,225978770000.0,230321523000.0,237262252000.0,246057654000.0,253835721000.0,262154117000.00003,271140547000.00003,281576824000.0,280089472000.0,277752381000.0,286887615000.0,304458959000.0,304224778000.0,309796912999.99994,308418260000.0,312380021000.0,314665411000.0,304083363999.99994,310293582000.0,321113546000.0,324676532000.00006,337160578000.00006,332432799000.0,355978857000.0,361270255000.00006,370237304999.99994,360620977000.00006,374691487000.0,364001282000.0,369919287000.0,359734408000.0,353600112999.99994,348914391999.99994,337240435000.0,353638510000.0,374518002999.99994,379736483000.0
Chihuahua,303189898000.0,336143547000.0,334520594000.0,315609482000.0,327938867000.0,336124562000.0,318334844000.00006,325130196000.0,326595354000.0,336951958000.0,357492572000.00006,370983422000.0,385367509000.0,399928053000.0,417236559000.0,403134639000.0,435992033000.0,465482547000.0,507712965000.0,535621568000.0,581263821999.9999,554947182000.0,545694429000.0,559444758000.0,577532784000.0,592161222000.0001,635597824000.0,664331063000.0,696713272000.0,626309624000.0,647629946000.0,662042787000.0,711480757000.0,732550603000.0,753194780000.0,803883276000.0,830488509000.0001,851284313000.0,853322804000.0001,866861299000.0001,808710891000.0,846063938000.0,911271142000.0,941368242999.9998
Ciudad de México,1831598702000.0,2023097662000.0,2017375623000.0,1937032270000.0,1992078797000.0,1989027993000.0,1890532204000.0,1896703477000.0,1897079434000.0,1966175114000.0,2060708474000.0,2161707696000.0,2235098068000.0,2354923799000.0,2448263341000.0,2292168752000.0005,2381093817000.0,2556605051000.0,2657943137000.0,2739399492000.0,2903708822000.0,2870934157000.0,2893524309000.0005,2842788554000.0,2962342214000.0,2991075243999.9995,3134225217000.0005,3142463801000.0,3183429429000.0,3008811766000.0005,3125716691000.0,3231440239000.0,3332208721000.0,3363394324999.9995,3412110198000.0005,3503520113000.0005,3571368187999.999,3646318179000.0,3694574874000.0,3679917346000.0,3293855308000.0005,3496055810999.9995,3650377619000.0,3806101519000.0
Durango,138131748999.99997,149622290000.0,148864493000.0,142374332000.0,146541785000.0,149331258000.0,144410954000.0,147319560000.0,149135741000.0,153874107000.0,160987569999.99997,165970862999.99997,169449990999.99997,172783065000.0,181317130000.0,174420963000.0,183390103000.0,190883331000.0,206637853000.0,206787114000.0,208654022000.0,217801317000.0,218739592000.0,231278924000.0,242836198000.0,235761599000.0,241373384000.0,248235605000.00003,261332532000.00003,256632613000.0,261476686000.0,273067299000.0,286058274000.0,299615205000.0,307939663000.0,300289376000.00006,305382234000.00006,304646657000.00006,308981254000.0,309426436000.0,286240782000.0,303251380999.99994,300478112999.99994,310240191000.00006
Guanajuato,368213095000.0,405438439000.0,405843987000.0,386976711000.0,401802461000.0,411054671000.0,395223704000.0,404826527000.0,410582652000.0,426219870000.0,449866898000.0,467278457000.0,482646440000.0,496878472000.0,515053908000.0,498677804000.0,529479375999.99994,563561208000.0,609251753000.0,617668996000.0,653601345999.9999,657506762000.0,687741364000.0,708927872000.0,728133105000.0,731639285000.0,769496262999.9999,778043648000.0,798104409999.9999,761825926999.9999,812725516000.0,854766200000.0,892378879000.0,931176500000.0,978988664000.0,1026150188000.0,1064742519000.0001,1115370824000.0,1120602843999.9998,1099063445000.0001,1019446377000.0,1084518132999.9999,1110918710000.0,1128468281000.0002
Guerrero,193774993000.0,203265673000.0,204231274000.0,201102472000.0,205097447000.0,207963999000.0,205355227000.0,208160520000.0,210190995000.0,214534793000.0,221373566000.0,226957173000.0,231080660000.0,231366829000.0,244535125000.0,228791872000.0,233979235000.0,241019011000.0,252375140000.0,254395831000.0,256193563000.0,258793422000.0,256700551000.0,254042539999.99994,265397240000.0,272647210000.00003,280082837000.0,287333395999.99994,288164177000.0,282203096999.99994,290708028000.0,291758339000.00006,294551278000.0,299721333000.00006,320203667000.00006,314103694999.99994,313422060000.00006,308568037000.0,317844942000.00006,317146825000.0,289968160000.0,303633381000.0,310105899000.0,313074749999.99994
