PERIODO,CVE_ENT,ENTIDAD,CLAVE_INDUSTRIA,INDUSTRIA,VALOR_CONSTANTE,VALOR_CORRIENTE
2003,0,Nacional,PIB,Producto interno bruto,17899317.915,8259533.132000001
2004,0,Nacional,PIB,Producto interno bruto,18537507.51,9248389.777
2005,0,Nacional,PIB,Producto interno bruto,18929250.875000004,9999598.964999998
2006,0,Nacional,PIB,Producto interno bruto,19838803.942,11120115.788
2007,0,Nacional,PIB,Producto interno bruto,20251027.283999994,12046753.144999998
2008,0,Nacional,PIB,Producto interno bruto,20442061.698000006,12927761.291
2009,0,Nacional,PIB,Producto interno bruto,19155182.675,12749117.919999998
2010,0,Nacional,PIB,Producto interno bruto,20107450.915,13968149.507000005
2011,0,Nacional,PIB,Producto interno bruto,20799960.586,15268436.669
2012,0,Nacional,PIB,Producto interno bruto,21539026.999,16529124.039
2013,0,Nacional,PIB,Producto interno bruto,21722561.397,16954005.666
2014,0,Nacional,PIB,Producto interno bruto,22266442.952000003,18137650.624000005
2015,0,Nacional,PIB,Producto interno bruto,22868154.246,19228614.685
2016,0,Nacional,PIB,Producto interno bruto,23273490.765,20758790.518
2017,0,Nacional,PIB,Producto interno bruto,23709107.314,22536210.261000004
2018,0,Nacional,PIB,Producto interno bruto,24176670.379,24176670.380000003
2019,0,Nacional,PIB,Producto interno bruto,24081730.905,25121823.322
2020,0,Nacional,PIB,Producto interno bruto,22069934.772,24086758.147999994
2021,0,Nacional,PIB,Producto interno bruto,23404831.103,26690033.389
2022,0,Nacional,PIB,Producto interno bruto,24273093.489,29525508.629
2023,0,Nacional,PIB,Producto interno bruto,25087101.732,31935812.994000006
2003,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1094725.7809999995,393218.195
2004,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1128153.966,390359.29999999993
2005,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1167183.815,395704.371
2006,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1231318.112,400790.9140000001
2007,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1226031.2459999998,437329.705
2008,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1278244.5540000002,315665.455
2009,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1123812.2500000002,504085.351
2010,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1117820.259,543382.7409999999
2011,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1125335.575,506080.596
2012,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1140752.7950000002,482273.702
2013,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1130864.6759999995,634182.282
2014,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1158660.835,902717.9119999998
2015,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1220760.45,1070730.811
2016,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1248193.4370000002,1258366.98
2017,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1272504.3889999995,1212103.874
2018,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1303024.8339999998,1303024.8339999998
2019,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1308297.938,1429702.173
