CVE,Entidad,Municipio,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
01001,Aguascalientes,Aguascalientes,499839,517275,534944,552764,570677,588507,604243,618391,632080,645292,660045,675888,692554,709287,725859,741677,755950,769746,784189,798876,814163,831822,849528,866840,883592,898485,913126,927572,942222,956982,968960,979754,991765,1004544,1017043,1029221,1041029,1052399,1063308,1073751,1083798,1093487,1102824,1111838,1120508,1128870,1136906,1144602,1151959,1158870,1164986
01002,Aguascalientes,Asientos,33465,34071,34665,35241,35789,36238,36826,37314,37758,38156,38605,39202,39826,40444,41037,41550,42498,43424,44397,45383,46429,46770,47086,47361,47588,47664,48680,49684,50722,51772,52700,53612,54606,55642,56684,57713,58734,59744,60726,61698,62656,63603,64543,65466,66374,67270,68155,69032,69890,70731,71498
01003,Aguascalientes,Calvillo,50181,50762,51308,51823,52297,52574,52663,52593,52445,52239,52067,51995,51950,51888,51776,51542,52289,53003,53751,54499,55255,55761,56255,56693,57078,57270,57741,58194,58648,59094,59333,59581,59899,60250,60581,60886,61159,61400,61608,61786,61933,62055,62151,62228,62278,62306,62311,62298,62252,62182,62105
01004,Aguascalientes,Cosío,10683,11010,11332,11669,11992,12307,12475,12600,12706,12806,12908,13141,13373,13613,13841,14046,14303,14550,14812,15082,15356,15501,15644,15781,15899,15966,16251,16531,16831,17122,17369,17612,17879,18167,18442,18719,18987,19254,19506,19754,20000,20233,20472,20690,20915,21131,21340,21547,21739,21930,22098
01005,Aguascalientes,Jesús María,43145,45293,47515,49806,52164,54749,57078,59315,61564,63819,66443,69657,73072,76627,80279,84316,87547,90813,94248,97817,101839,105935,110168,114462,118787,123308,125257,127171,129115,131073,132642,134208,135947,137787,139599,141363,143083,144739,146330,147868,149350,150778,152161,153496,154792,156029,157236,158382,159483,160519,161381
01006,Aguascalientes,Pabellón de Arteaga,27207,28147,29106,30074,31040,32001,32740,33374,33989,34566,35206,36132,37090,38067,39033,39976,40534,41072,41630,42192,42766,43733,44720,45679,46606,47444,47714,47955,48194,48432,48495,48562,48679,48837,48968,49080,49166,49220,49253,49262,49242,49205,49148,49064,48969,48856,48727,48579,48409,48226,48061
01007,Aguascalientes,Rincón de Romos,35157,35999,36838,37666,38484,39205,40012,40708,41352,41963,42634,43442,44291,45131,45953,46695,47401,48069,48773,49482,50214,51245,52294,53300,54273,55123,55849,56558,57273,57991,58520,58913,59370,59869,60351,60808,61231,61632,61994,62336,62644,62932,63196,63437,63662,63858,64039,64201,64339,64456,64572
01008,Aguascalientes,San José de Gracia,6980,7055,7126,7191,7256,7288,7335,7365,7374,7385,7393,7485,7581,7666,7756,7827,7981,8135,8295,8450,8619,8730,8846,8941,9039,9110,9246,9377,9510,9642,9751,9806,9872,9949,10013,10083,10142,10197,10253,10298,10341,10373,10407,10438,10461,10485,10506,10524,10526,10533,10541
01009,Aguascalientes,Tepezalá,15364,15603,15835,16061,16275,16428,16576,16663,16729,16781,16850,17045,17253,17449,17640,17788,18237,18669,19122,19587,20083,20385,20688,20959,21219,21427,21745,22059,22376,22698,22951,22997,23063,23156,23227,23292,23350,23392,23422,23438,23444,23446,23430,23411,23382,23349,23309,23251,23194,23135,23085
01010,Aguascalientes,El Llano,12880,13205,13524,13841,14163,14448,14749,14998,15247,15466,15712,16074,16455,16829,17204,17558,17887,18204,18539,18877,19223,19547,19861,20163,20443,20675,20811,20931,21058,21186,21230,21326,21444,21578,21706,21824,21932,22027,22114,22185,22247,22307,22343,22383,22411,22434,22447,22449,22448,22437,22428
