clave_entidad,entidad,clave_municipio,municipio,longitud,latitud,poblacion
01,Aguascalientes,001,Aguascalientes,-102.1745768,21.5247362,948990
01,Aguascalientes,002,Asientos,-102.0521390,22.1417941,51536
01,Aguascalientes,003,Calvillo,-102.4307502,21.5048866,58250
01,Aguascalientes,004,Cosío,-102.1800159,22.2159071,17000
01,Aguascalientes,005,Jesús María,-102.2036299,21.5740582,129929
01,Aguascalientes,006,Pabellón de Arteaga,-102.1635550,22.0857126,47646
01,Aguascalientes,007,Rincón de Romos,-102.1923047,22.1345239,57369
01,Aguascalientes,008,San José de Gracia,-102.2456281,22.0900779,9552
01,Aguascalientes,009,Tepezalá,-102.1001097,22.1327220,22485
01,Aguascalientes,010,El Llano,-101.5755106,21.5507929,20853
01,Aguascalientes,011,San Francisco de los Romo,-102.1621642,22.0420615,61997
02,Baja California,001,Ensenada,-116.3542482,31.4832198,443807
02,Baja California,002,Mexicali,-115.2832084,32.3828233,1049792
02,Baja California,003,Tecate,-116.3735581,32.3421644,108440
02,Baja California,004,Tijuana,-117.0108088,32.3156859,1922523
02,Baja California,005,Playas de Rosarito,-117.0316052,32.2149263,126890
02,Baja California,006,San Quintín,-115.5620621,30.3323347,117568
03,Baja California Sur,001,Comondú,-111.4024022,25.0204688,73021
03,Baja California Sur,002,Mulegé,-112.1605789,27.2012726,64022
03,Baja California Sur,003,La Paz,-110.1823724,24.0855482,292241
03,Baja California Sur,008,Los Cabos,-109.4141097,23.0341729,351111
03,Baja California Sur,009,Loreto,-111.2036000,26.0046000,18052
04,Campeche,001,Calkiní,-90.0302662,20.2216414,59232
04,Campeche,002,Campeche,-90.3222737,19.5041331,294077
04,Campeche,003,Carmen,-91.5011220,18.3816042,248845
04,Campeche,004,Champotón,-90.4326008,19.2122387,78170
04,Campeche,005,Hecelchakán,-90.0804262,20.1037078,31917
04,Campeche,006,Hopelchén,-89.5042157,19.4443973,42140
04,Campeche,007,Palizada,-92.0527246,18.1512954,8683
04,Campeche,008,Tenabo,-90.1332748,20.0222837,11452
04,Campeche,009,Escárcega,-90.4355203,18.3615533,59923
04,Campeche,010,Calakmul,-89.2350192,18.3019335,31714
04,Campeche,011,Candelaria,-91.0246657,18.1100422,46913
04,Campeche,012,Seybaplaya,-90.4117884,19.3821109,15297
05,Coahuila de Zaragoza,001,Abasolo,-101.2535000,27.1055000,1022
05,Coahuila de Zaragoza,002,Acuña,-100.5841730,29.1948020,163058
05,Coahuila de Zaragoza,003,Allende,-100.5115000,28.2050000,23056
05,Coahuila de Zaragoza,004,Arteaga,-100.5058641,25.2702234,29578
05,Coahuila de Zaragoza,005,Candela,-100.3950000,26.5025000,1643
05,Coahuila de Zaragoza,006,Castaños,-101.2550000,26.4707000,29128
05,Coahuila de Zaragoza,007,Cuatro Ciénegas,-102.0401564,26.5912709,12715
05,Coahuila de Zaragoza,008,Escobedo,-101.2445000,27.1405000,3047
05,Coahuila de Zaragoza,009,Francisco I. Madero,-103.1623000,25.4630000,59035
05,Coahuila de Zaragoza,010,Frontera,-101.2658000,26.5534000,82409
05,Coahuila de Zaragoza,011,General Cepeda,-101.2845450,25.2247667,11898
05,Coahuila de Zaragoza,012,Guerrero,-100.2243412,28.1830306,1643
05,Coahuila de Zaragoza,013,Hidalgo,-99.5233798,27.4730050,1735
05,Coahuila de Zaragoza,014,Jiménez,-100.4027219,29.0413110,9502
05,Coahuila de Zaragoza,015,Juárez,-100.4337631,27.3623423,1584
05,Coahuila de Zaragoza,016,Lamadrid,-101.4736957,27.0254577,1764
05,Coahuila de Zaragoza,017,Matamoros,-103.1349381,25.3141290,118337
05,Coahuila de Zaragoza,018,Monclova,-101.2502008,26.5404472,237951
05,Coahuila de Zaragoza,019,Morelos,-100.5311873,28.2436376,7928
05,Coahuila de Zaragoza,020,Múzquiz,-101.3059464,27.5239179,71627
05,Coahuila de Zaragoza,021,Nadadores,-101.3531284,27.0144510,6539
05,Coahuila de Zaragoza,022,Nava,-100.4603193,28.2518749,33129
05,Coahuila de Zaragoza,023,Ocampo,-102.2350657,27.1840374,9642
05,Coahuila de Zaragoza,024,Parras,-102.1103008,25.2614570,44472
05,Coahuila de Zaragoza,025,Piedras Negras,-100.3142389,28.4229135,176327
05,Coahuila de Zaragoza,026,Progreso,-100.5914040,27.2544320,3239
05,Coahuila de Zaragoza,027,Ramos Arizpe,-100.5702815,25.3235641,122243
05,Coahuila de Zaragoza,028,Sabinas,-101.0711961,27.5055998,64811
05,Coahuila de Zaragoza,029,Sacramento,-101.4330129,27.0015979,2471
05,Coahuila de Zaragoza,030,Saltillo,-100.5958996,25.2517993,879958
05,Coahuila de Zaragoza,031,San Buenaventura,-101.3300103,27.0336926,24759
05,Coahuila de Zaragoza,032,San Juan de Sabinas,-101.1811856,27.5545805,42260
05,Coahuila de Zaragoza,033,San Pedro,-102.5859365,25.4528000,101041
05,Coahuila de Zaragoza,034,Sierra Mojada,-103.4205244,27.1712757,6744
05,Coahuila de Zaragoza,035,Torreón,-103.2711018,25.3230312,720848
05,Coahuila de Zaragoza,036,Viesca,-102.4822861,25.2036979,20305
05,Coahuila de Zaragoza,037,Villa Unión,-100.4330558,28.1313792,6188
05,Coahuila de Zaragoza,038,Zaragoza,-100.5503438,28.2913355,13135
06,Colima,001,Armería,-103.5753990,18.5613462,27626
06,Colima,002,Colima,-103.4341228,19.1434520,157048
06,Colima,003,Comala,-103.4531684,19.1923515,21661
06,Colima,004,Coquimatlán,-103.4839301,19.1205076,20837
06,Colima,005,Cuauhtémoc,-103.3606698,19.1943588,31267
06,Colima,006,Ixtlahuacán,-103.4418936,19.0004261,5623
06,Colima,007,Manzanillo,-104.1858970,19.0311541,191031
06,Colima,008,Minatitlán,-104.0258693,19.2309996,10231
06,Colima,009,Tecomán,-103.5225640,18.5438175,116305
06,Colima,010,Villa de Álvarez,-103.4412331,19.1553195,149762
07,Chiapas,001,Acacoyagua,-92.4028622,15.2027475,17994
07,Chiapas,002,Acala,-92.4827030,16.3306025,21187
07,Chiapas,003,Acapetahua,-92.4120875,15.1658216,26899
07,Chiapas,004,Altamirano,-92.0218937,16.4409313,36160
07,Chiapas,005,Amatán,-92.4908843,17.2222254,24512
07,Chiapas,006,Amatenango de la Frontera,-92.0654568,15.2606038,31735
07,Chiapas,007,Amatenango del Valle,-92.2607766,16.3142605,11283
07,Chiapas,008,Angel Albino Corzo,-92.4330287,15.5221520,31947
07,Chiapas,009,Arriaga,-93.5358104,16.1409834,41135
07,Chiapas,010,Bejucal de Ocampo,-92.0930265,15.2719415,7365
07,Chiapas,011,Bella Vista,-92.1441445,15.3458791,20157
07,Chiapas,012,Berriozábal,-93.1623777,16.4801155,64632
07,Chiapas,013,Bochil,-92.5324788,16.5946980,37263
07,Chiapas,014,El Bosque,-92.4317072,17.0343957,24273
07,Chiapas,015,Cacahoatán,-92.1005197,14.5923239,50112
07,Chiapas,016,Catazajá,-92.0058918,17.4341957,17619
07,Chiapas,017,Cintalapa,-93.4313541,16.4155256,88106
07,Chiapas,018,Coapilla,-93.0932479,17.0750849,9900
07,Chiapas,019,Comitán de Domínguez,-92.0809006,16.1508858,166178
07,Chiapas,020,La Concordia,-92.4116562,16.0700177,49920
07,Chiapas,021,Copainalá,-93.1238000,17.0537000,22192
07,Chiapas,022,Chalchihuitán,-92.3706223,16.5748257,21915
07,Chiapas,023,Chamula,-92.4121000,16.4715000,101967
07,Chiapas,024,Chanal,-92.1535792,16.3936223,13678
07,Chiapas,025,Chapultenango,-93.0748282,17.2025442,7472
07,Chiapas,026,Chenalhó,-92.3734133,16.5339397,47371
07,Chiapas,027,Chiapa de Corzo,-93.0057453,16.4228649,112075
07,Chiapas,028,Chiapilla,-92.4312090,16.3413775,6156
07,Chiapas,029,Chicoasén,-93.0618846,16.5802118,5402
07,Chiapas,030,Chicomuselo,-92.1659834,15.4441770,36785
07,Chiapas,031,Chilón,-92.1617502,17.0619769,137262
07,Chiapas,032,Escuintla,-92.3930810,15.1909370,30896
07,Chiapas,033,Francisco León,-93.1834407,17.2100635,7245
