Entidad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Estados Unidos Mexicanos,51560567,53133584,54758696,56414565,58097331,59792538,61476071,63139218,64788304,66431403,68072118,69715468,71369508,73034559,74707346,76375259,78028665,79665004,81282371,82889981,84502988,86127477,87753131,89364560,90953505,92506744,94005638,95438019,96799183,98085415,99368858,100739263,102167274,103587899,104970581,106370948,107885646,109538665,111275915,113030218,114756059,116446180,118060514,119597654,121048604,122368490,123587407,124777172,125995825,127215666,128209170,128982939,129960600,131135337,132274416,133367428,134407258,135391662,136321595,137200808,138033990,138825843,139580548,140301983,140993393,141656637,142291504,142895488,143464237,143992746,144476530,144912929,145301351,145642911,145939797,146194887,146411280,146592205,146740307,146857365,146943948,146999649,147022927,147011306,146961870,146872208,146741137,146568916,146356973,146107409,145822700,145505553,145158569,144784066,144383681,143958301,143507972,143032072,142529549,141999271,141440479
Aguascalientes,361162,375681,391243,407355,423963,440897,458005,475241,492548,509979,528402,548449,569398,590749,612513,634686,657231,680114,703332,727003,750856,774794,798983,823342,847751,871727,893303,912513,931005,948799,968833,992461,1017397,1042583,1067693,1092345,1115306,1137704,1161188,1185148,1210556,1238120,1265972,1293332,1320036,1344649,1367412,1389971,1413003,1436338,1456050,1472645,1491126,1510839,1530185,1549118,1567559,1585410,1602622,1619234,1635311,1650928,1666085,1680830,1695148,1709063,1722585,1735670,1748298,1760380,1771901,1782805,1793128,1802833,1811950,1820528,1828550,1836095,1843157,1849749,1855894,1861569,1866757,1871446,1875621,1879231,1882259,1884734,1886653,1888037,1888909,1889273,1889189,1888644,1887674,1886266,1884455,1882203,1879501,1876351,1872739
Baja California,917327,944692,972053,999566,1027166,1054575,1081578,1108221,1134847,1161912,1195693,1240192,1290131,1341966,1395314,1450232,1505677,1560841,1616184,1671850,1735043,1807719,1883269,1959949,2037692,2115146,2192097,2269215,2345846,2421642,2495955,2570837,2647676,2724975,2802054,2877276,2943650,3004841,3069155,3134914,3194264,3241111,3280221,3316849,3350881,3406162,3490609,3581745,3674434,3767720,3838619,3889925,3948201,4010510,4071872,4131619,4189285,4244732,4297963,4349175,4398675,4446749,4493629,4539559,4584700,4629135,4672841,4715623,4757183,4797179,4835262,4871246,4905097,4936851,4966606,4994554,5020892,5045821,5069469,5091977,5113344,5133533,5152429,5169833,5185539,5199382,5211251,5221125,5229092,5235243,5239725,5242698,5244300,5244651,5243825,5241868,5238767,5234449,5228818,5221794,5213291
Baja California Sur,135790,142537,149752,157262,165056,172969,181053,189354,197791,206392,215559,225598,236180,247063,258257,269739,281434,293269,305282,317497,328819,338829,348614,358459,368345,378327,389053,400401,411652,422747,436096,452484,469791,487357,505004,523505,545300,570116,595876,622177,646019,665112,681803,698209,714281,730405,746827,763394,780416,797758,815098,831832,849224,867766,886050,904052,921734,939102,956141,972848,989212,1005224,1020906,1036250,1051270,1065940,1080256,1094209,1107784,1120961,1133706,1146026,1157904,1169328,1180307,1190846,1200931,1210589,1219819,1228628,1237008,1244958,1252472,1259524,1266130,1272266,1277932,1283135,1287884,1292172,1296013,1299419,1302388,1304939,1307071,1308808,1310119,1311061,1311591,1311731,1311473
Campeche,272385,285625,299866,314606,329815,345310,361064,377145,393441,410025,425515,438803,451283,463999,476948,490058,503207,516326,529407,542478,557351,574638,592585,610510,628350,645597,659759,671088,681912,692332,704083,718130,733163,748463,763707,778680,791621,802962,814707,826542,839767,855626,872482,889136,905316,917075,923399,927991,932320,936190,939179,941684,945445,950291,954659,958567,962014,965051,967715,970026,972005,973713,975157,976355,977343,978118,978666,979003,979101,978967,978565,977893,976951,975750,974280,972559,970580,968372,965939,963258,960376,957252,953919,950363,946584,942579,938351,933879,929212,924353,919288,914060,908658,903105,897403,891565,885592,879509,873275,866924,860467
Chiapas,1709417,1753287,1797974,1843035,1888201,1932564,1976490,2020170,2062792,2104616,2164464,2257421,2367498,2481446,2598508,2718414,2840730,2965235,3091758,3220251,3322958,3391579,3451963,3510780,3568658,3627059,3694503,3770015,3844853,3918320,3996040,4082064,4171911,4261966,4350768,4440529,4533772,4631540,4733412,4837038,4939084,5036751,5129764,5220498,5308440,5386294,5453377,5517445,5582946,5648179,5715260,5785553,5862882,5946352,6028154,6107903,6185469,6260822,6333970,6405014,6474118,6541466,6607243,6671649,6734796,6796803,6857730,6917562,6976225,7033597,7089579,7144081,7197086,7248555,7298541,7347056,7394164,7439905,7484319,7527437,7569222,7609630,7648595,7686007,7721767,7755776,7787976,7818371,7846981,7873867,7899115,7922804,7945009,7965820,7985320,8003499,8020362,8035902,8050118,8062967,8074413
Chihuahua,1698240,1734964,1771088,1807496,1843939,1879877,1914579,1947728,1979359,2009767,2044907,2089110,2137707,2187108,2237048,2287312,2337440,2387091,2436354,2485341,2538242,2595706,2653724,2711402,2768489,2823811,2879403,2935733,2990037,3042094,3089196,3133500,3178885,3223858,3267587,3309479,3343356,3371690,3401622,3431265,3461968,3496283,3530461,3561862,3590487,3621545,3657794,3695619,3735414,3775295,3812627,3851891,3898274,3947936,3996504,4043130,4087306,4128864,4167895,4204699,4239656,4273134,4305496,4337034,4367965,4398374,4428219,4457258,4485106,4511338,4535538,4557477,4577079,4594444,4609772,4623300,4635312,4646053,4655759,4664564,4672511,4679567,4685580,4690312,4693504,4694951,4694540,4692271,4688224,4682539,4675428,4667053,4657613,4647280,4636107,4624139,4611378,4597702,4582981,4567093,4549923
Ciudad de México,7336320,7509052,7677940,7849693,8022978,8199978,8373187,8537180,8696633,8852608,8960023,8986452,8972564,8946602,8909640,8857453,8792733,8718524,8631272,8533199,8485531,8505567,8537054,8564878,8588560,8607943,8631281,8657116,8674660,8682629,8706087,8758667,8819709,8878329,8931633,8977190,9001741,9011907,9022695,9029228,9044151,9074286,9102171,9121489,9131261,9152227,9196836,9246758,9296268,9343071,9332593,9272649,9237644,9221637,9204018,9183658,9159966,9132734,9102136,9068610,9032705,8994951,8955799,8915667,8874820,8833389,8791338,8748390,8704119,8657948,8609423,8558319,8504596,8448448,8390214,8330174,8268758,8206293,8143126,8079472,8015397,7950868,7885723,7819671,7752390,7683669,7613377,7541499,7468170,7393679,7318214,7242099,7165561,7088816,7012002,6935213,6858398,6781472,6704276,6626630,6548490
Coahuila de Zaragoza,1180162,1216136,1253604,1292036,1331213,1370722,1410086,1449133,1487807,1526391,1566812,1611025,1657869,1705732,1754373,1803353,1852357,1901327,1950235,1999259,2042250,2076781,2108789,2140131,2170685,2200397,2230415,2260205,2288021,2313666,2345905,2388354,2433494,2478582,2523006,2567167,2611380,2657245,2705559,2754694,2803245,2850340,2895110,2938067,2978928,3017320,3053932,3089757,3126107,3162465,3197122,3232850,3273658,3316738,3358991,3400257,3440385,3479300,3516975,3553424,3588772,3623144,3656634,3689320,3721262,3752478,3782961,3812606,3841300,3868885,3895230,3920251,3943942,3966322,3987422,4007293,4026014,4043690,4060358,4076085,4090838,4104640,4117434,4129165,4139778,4149181,4157372,4164339,4170118,4174760,4178342,4180928,4182570,4183330,4183262,4182384,4180682,4178138,4174737,4170440,4165245
Colima,255749,264532,273713,283137,292804,302569,312337,322144,331902,341627,351200,360452,369574,378746,387959,397283,406561,415667,424755,433882,443360,453420,463844,474354,484794,495079,505787,516728,527152,537149,545502,552590,559938,567352,574696,583006,595479,611647,628547,645717,662102,676799,690163,702992,715359,724011,728544,732464,736743,741130,745122,748315,752247,757405,762387,767105,771538,775673,779506,783071,786372,789450,792331,795023,797546,799912,802097,804107,805894,807457,808766,809788,810542,811011,811224,811192,810931,810462,809812,808975,807959,806771,805389,803830,802065,800060,797836,795376,792729,789862,786827,783609,780238,776733,773068,769288,765370,761322,757124,752785,748300
