PERIODO,CVE_ENT,ENTIDAD,VALOR_USD
2003-01-01,1,Aguascalientes,62442901
2003-01-01,2,Baja California,28595444
2003-01-01,3,Baja California Sur,3987813
2003-01-01,4,Campeche,8909331
2003-01-01,5,Coahuila,28997638
2003-01-01,6,Colima,24304780
2003-01-01,7,Chiapas,86783959
2003-01-01,8,Chihuahua,50514965
2003-01-01,9,Ciudad de México,159743934
2003-01-01,10,Durango,56226419
2003-01-01,11,Guanajuato,287617094
2003-01-01,12,Guerrero,197847377
2003-01-01,13,Hidalgo,117105733
2003-01-01,14,Jalisco,281250256
2003-01-01,15,Estado de México,230539936
2003-01-01,16,Michoacán,394262648
2003-01-01,17,Morelos,82044741
2003-01-01,18,Nayarit,48262741
2003-01-01,19,Nuevo León,32258612
2003-01-01,20,Oaxaca,160901298
2003-01-01,21,Puebla,182182514
2003-01-01,22,Querétaro,56591143
2003-01-01,23,Quintana Roo,9776402
2003-01-01,24,San Luis Potosí,79067436
2003-01-01,25,Sinaloa,69249275
2003-01-01,26,Sonora,27582963
2003-01-01,27,Tabasco,17394818
2003-01-01,28,Tamaulipas,49415171
2003-01-01,29,Tlaxcala,28775101
2003-01-01,30,Veracruz,209549124
2003-01-01,31,Yucatán,12148818
2003-01-01,32,Zacatecas,85796351
2003-04-01,1,Aguascalientes,58705605
2003-04-01,2,Baja California,33708389
2003-04-01,3,Baja California Sur,4480667
2003-04-01,4,Campeche,14266795
2003-04-01,5,Coahuila,34496313
2003-04-01,6,Colima,26426165
2003-04-01,7,Chiapas,108890042
2003-04-01,8,Chihuahua,58354750
2003-04-01,9,Ciudad de México,203413228
2003-04-01,10,Durango,68015871
2003-04-01,11,Guanajuato,379542401
2003-04-01,12,Guerrero,223648921
2003-04-01,13,Hidalgo,160351797
2003-04-01,14,Jalisco,363359291
2003-04-01,15,Estado de México,280813062
2003-04-01,16,Michoacán,466370148
2003-04-01,17,Morelos,96013322
2003-04-01,18,Nayarit,58629448
2003-04-01,19,Nuevo León,44304939
2003-04-01,20,Oaxaca,202429250
2003-04-01,21,Puebla,219056177
2003-04-01,22,Querétaro,75476297
2003-04-01,23,Quintana Roo,11620275
2003-04-01,24,San Luis Potosí,103374646
2003-04-01,25,Sinaloa,83280945
2003-04-01,26,Sonora,31909373
2003-04-01,27,Tabasco,21653829
2003-04-01,28,Tamaulipas,59269887
2003-04-01,29,Tlaxcala,37302022
2003-04-01,30,Veracruz,255613403
2003-04-01,31,Yucatán,14288850
2003-04-01,32,Zacatecas,105581222
2003-07-01,1,Aguascalientes,68790372
2003-07-01,2,Baja California,44375082
2003-07-01,3,Baja California Sur,6098282
2003-07-01,4,Campeche,16575862
2003-07-01,5,Coahuila,38971402
2003-07-01,6,Colima,25999910
2003-07-01,7,Chiapas,117886060
2003-07-01,8,Chihuahua,67935231
2003-07-01,9,Ciudad de México,236972521
2003-07-01,10,Durango,70740465
2003-07-01,11,Guanajuato,388651614
2003-07-01,12,Guerrero,224063877
2003-07-01,13,Hidalgo,172801364
2003-07-01,14,Jalisco,372259527
2003-07-01,15,Estado de México,288292634
2003-07-01,16,Michoacán,473919197
2003-07-01,17,Morelos,98153181
2003-07-01,18,Nayarit,61635146
2003-07-01,19,Nuevo León,56301034
2003-07-01,20,Oaxaca,216903624
2003-07-01,21,Puebla,229591874
2003-07-01,22,Querétaro,76640353
2003-07-01,23,Quintana Roo,17559166
2003-07-01,24,San Luis Potosí,118105858
2003-07-01,25,Sinaloa,85087829
2003-07-01,26,Sonora,35803639
2003-07-01,27,Tabasco,23370311
2003-07-01,28,Tamaulipas,65141654
2003-07-01,29,Tlaxcala,41873855
2003-07-01,30,Veracruz,263195783
2003-07-01,31,Yucatán,17035880
2003-07-01,32,Zacatecas,107384103
