PERIODO,ID_FLUJO,FLUJO,OPERACIONES,VALOR_USD
1995-01-01,1,Ingresos,767893,254572352
1995-02-01,1,Ingresos,755267,248060497
1995-03-01,1,Ingresos,894602,287364472
1995-04-01,1,Ingresos,919767,298913524
1995-05-01,1,Ingresos,1132711,357739631
1995-06-01,1,Ingresos,1026296,352369484
1995-07-01,1,Ingresos,986847,342899320
1995-08-01,1,Ingresos,1015416,362273928
1995-09-01,1,Ingresos,940423,314149231
1995-10-01,1,Ingresos,1099205,324503311
1995-11-01,1,Ingresos,814054,255592217
1995-12-01,1,Ingresos,910671,274288272
1996-01-01,1,Ingresos,960939,313509077
1996-02-01,1,Ingresos,903741,281925741
1996-03-01,1,Ingresos,1057313,337318483
1996-04-01,1,Ingresos,1204258,393387694
1996-05-01,1,Ingresos,1336139,413542028
1996-06-01,1,Ingresos,1126757,365245050
1996-07-01,1,Ingresos,1150911,373670502
1996-08-01,1,Ingresos,1244601,386066642
1996-09-01,1,Ingresos,1046665,339253267
1996-10-01,1,Ingresos,1120643,348901030
1996-11-01,1,Ingresos,952588,315601561
1996-12-01,1,Ingresos,1103501,355260860
1997-01-01,1,Ingresos,1105493,338647741
1997-02-01,1,Ingresos,1044467,331591805
1997-03-01,1,Ingresos,1214671,381907219
1997-04-01,1,Ingresos,1325210,425538643
1997-05-01,1,Ingresos,1492847,486689350
1997-06-01,1,Ingresos,1444537,453559644
1997-07-01,1,Ingresos,1393293,441686303
1997-08-01,1,Ingresos,1353757,428902176
1997-09-01,1,Ingresos,1353578,431467845
1997-10-01,1,Ingresos,1329152,421668119
1997-11-01,1,Ingresos,1087168,343430719
1997-12-01,1,Ingresos,1224414,379754967
1998-01-01,1,Ingresos,1274618,382531655
1998-02-01,1,Ingresos,1244226,366398162
1998-03-01,1,Ingresos,1466773,427194949
1998-04-01,1,Ingresos,1450673,439995009
1998-05-01,1,Ingresos,1827469,520373921
1998-06-01,1,Ingresos,1737814,503487579
