Municipio,Ene-Mar 2013,Abr-Jun 2013,Jul-Sep 2013,Oct-Dic 2013,Ene-Mar 2014,Abr-Jun 2014,Jul-Sep 2014,Oct-Dic 2014,Ene-Mar 2015,Abr-Jun 2015,Jul-Sep 2015,Oct-Dic 2015,Ene-Mar 2016,Abr-Jun 2016,Jul-Sep 2016,Oct-Dic 2016,Ene-Mar 2017,Abr-Jun 2017,Jul-Sep 2017,Oct-Dic 2017,Ene-Mar 2018,Abr-Jun 2018,Jul-Sep 2018,Oct-Dic 2018,Ene-Mar 2019,Abr-Jun 2019,Jul-Sep 2019,Oct-Dic 2019,Ene-Mar 2020,Abr-Jun 2020,Jul-Sep 2020,Oct-Dic 2020,Ene-Mar 2021,Abr-Jun 2021,Jul-Sep 2021,Oct-Dic 2021,Ene-Mar 2022,Abr-Jun 2022,Jul-Sep 2022,Oct-Dic 2022,Ene-Mar 2023,Abr-Jun 2023,Jul-Sep 2023,Oct-Dic 2023,Ene-Mar 2024,Abr-Jun 2024
 ● Aguascalientes,70.935872,84.477649,80.581209,80.801369,79.194217,86.552642,83.263578,85.529142,82.780588,90.215377,94.603535,89.495691,91.911207,102.595278,106.148115,105.04788,102.456888,112.822083,114.073725,115.364536,104.536565,130.130626,122.582918,128.919412,112.806644,132.508134,140.864752,131.414558,131.517236,139.349798,139.020514,146.744625,144.69477,184.070739,186.543674,195.681652,175.249628,219.362255,232.453555,233.098011,209.236329,246.875262,246.605609,236.202859,204.737542,252.948256
  ⚬ Aguascalientes,40.690177,47.164073,44.001068,46.419031,46.458792,49.023317,46.008212,48.201841,47.967284,51.296273,52.315916,50.227159,52.842454,57.601149,59.16572,59.368743,57.980699,63.057783,61.756674,64.601995,60.96511,73.280705,69.217708,73.065541,66.217691,76.917815,80.325247,75.890028,73.811528,78.793024,76.604099,82.348782,82.405254,103.173135,102.919476,108.901307,102.83366,130.262718,139.269469,140.740351,130.031495,151.718874,146.952344,142.436434,126.789269,153.441794
  ⚬ Asientos,1.275886,1.606246,1.502257,1.388162,1.429231,1.631231,1.631423,1.431992,1.190699,1.355659,1.583431,1.465107,1.362542,1.511175,1.518016,1.457666,1.492826,1.660461,1.737887,1.57892,1.325843,1.877705,1.789423,1.754841,1.597535,2.020864,2.23902,2.069569,2.044574,1.576577,2.385082,2.431872,2.433211,3.212922,3.341644,3.513433,3.207481,4.238066,2.794456,2.609508,2.110656,2.487227,2.556142,2.59603,2.061161,2.604642
  ⚬ Calvillo,10.178654,13.007311,13.560433,12.255393,12.457806,15.183738,16.484665,16.178299,14.820626,16.968338,19.539108,17.466998,17.236465,20.321942,21.24425,20.426799,19.565801,21.678634,23.301668,21.881016,18.291227,24.435202,22.897106,24.54882,19.661748,23.824148,26.738122,24.396324,24.997722,24.401831,22.695943,24.641266,23.922551,31.256883,31.681861,32.795604,25.41826,30.942361,34.035223,33.246612,28.160667,33.875028,35.848704,33.158592,27.632895,36.577506
  ⚬ Cosío,0.381639,0.418806,0.450624,0.415966,0.382609,0.516586,0.437124,0.474983,0.425509,0.504558,0.489504,0.458668,0.400584,0.527346,0.532115,0.49769,0.455583,0.592531,0.569799,0.480784,0.477717,0.55868,0.513314,0.529762,0.51631,0.600788,0.653958,0.627819,0.596901,0.678277,0.739281,0.767108,0.611792,1.002697,1.006253,1.084044,0.886365,1.157106,0.972692,0.965481,0.856841,0.991942,1.059222,0.979133,0.822001,0.994122
  ⚬ El Llano,1.288662,1.643225,1.276505,1.090384,0.183558,0.02954,0.056813,0.029892,0.191741,0.174593,0.167924,0.184848,0.079373,0.09794,0.11204,0.110323,0.207134,0.221335,0.214779,0.223122,0.319698,0.420205,0.386952,0.357499,0.395831,0.527647,0.354607,0.227052,0.216411,0.268053,0.301255,0.282604,0.384669,0.58996,0.595976,0.686925,0.652568,1.097635,0.325136,0.347641,0.31457,0.411413,0.398382,0.273409,0.21811,0.306464
  ⚬ Jesús María,2.214437,2.927256,2.541153,2.595454,2.38908,2.607322,2.226213,2.380224,2.181735,2.312979,2.316894,2.249082,2.178716,2.512247,2.516203,2.388997,2.495522,2.828343,3.020154,3.032564,2.805621,3.359961,2.967089,3.065751,2.728974,3.386956,3.663664,3.401843,3.458832,3.843763,5.930544,4.431108,4.440101,5.599753,6.292758,6.464137,5.618297,7.105227,7.076796,7.391907,6.594385,7.808245,8.080117,7.581546,6.644804,8.334172
  ⚬ Pabellón de Arteaga,5.686349,6.415342,6.082879,5.538099,4.897927,5.554181,5.116256,5.386657,4.74052,5.643993,5.722016,5.424782,5.022646,5.796798,6.163368,6.420598,6.137989,6.869071,7.048134,7.341612,6.269499,8.126958,7.090226,7.087708,5.802517,6.770599,7.699353,6.712668,8.148912,10.070801,11.153394,10.627557,10.135245,13.119692,13.318428,13.956951,12.087821,14.974205,16.214217,16.422008,14.210083,16.603671,16.951254,16.069793,13.512367,17.218229
  ⚬ Rincón de Romos,7.374496,9.282096,9.237989,9.113302,8.805306,9.581782,8.967413,9.004819,8.784258,9.323874,9.924318,9.434308,9.892859,10.896771,11.408139,10.681362,10.2928,11.627605,12.003491,12.007249,10.332698,13.181301,12.939651,13.631213,11.350661,12.967442,13.80283,13.030314,13.034589,14.081961,13.434288,14.684207,13.717025,17.909175,18.673393,19.162765,16.419201,19.486103,21.607357,21.586665,18.223137,22.218865,24.228246,23.334406,19.008551,23.906834
  ⚬ San Francisco de los Romo,1.74687,1.964945,1.899378,1.965419,2.175951,2.405592,2.328396,2.42829,2.387736,2.480417,2.303979,2.384064,2.701439,3.07723,3.195322,3.406388,3.503309,3.914236,3.977175,3.76244,3.32988,4.325554,4.171255,4.274692,3.944314,4.872569,4.694893,4.343083,4.478138,4.832041,4.78956,5.36565,5.509265,6.98515,7.212094,7.483553,6.780311,8.355393,8.863876,8.685803,7.882743,9.728051,9.430141,8.761213,7.133709,8.413576
  ⚬ San José de Gracia,0,0,0,0,0,0,0,0.000565,0.083305,0.126952,0.197748,0.163127,0.16546,0.215118,0.239152,0.229305,0.26261,0.320031,0.37425,0.380499,0.364616,0.491617,0.536079,0.49698,0.453433,0.507721,0.589097,0.59338,0.598458,0.573909,0.685974,0.809066,0.790882,0.88642,1.02009,1.103314,0.869904,1.060765,1.068368,0.901229,0.637381,0.771792,0.83853,0.771323,0.673254,0.837965
  ⚬ Tepezalá,0.057545,0.048349,0.028923,0.020158,0.013825,0.019351,0.007063,0.011579,0.007176,0.027741,0.042696,0.037549,0.028669,0.037562,0.053789,0.060009,0.062614,0.052054,0.069714,0.074335,0.054657,0.072739,0.074115,0.065218,0.079045,0.086059,0.103962,0.122479,0.131171,0.22956,0.301094,0.355405,0.344775,0.334953,0.475098,0.529619,0.475759,0.682675,0.225966,0.200806,0.206178,0.253846,0.249543,0.197752,0.196186,0.280514
