PERIODO,ID_ESTADO,ESTADO,VALOR_USD
2013-01-01,AK,Alaska,8924355
2013-01-01,AL,Alabama,46995605
2013-01-01,AR,Arkansas,38739154
2013-01-01,AZ,Arizona,121102347
2013-01-01,CA,California,1403262699
2013-01-01,CO,Colorado,117245123
2013-01-01,CT,Connecticut,15838646
2013-01-01,DC,"Washington, D.C.",3287955
2013-01-01,DE,Delaware,9409800
2013-01-01,FL,Florida,218941865
2013-01-01,GA,Georgia,153676744
2013-01-01,HI,Hawaii,3315527
2013-01-01,IA,Iowa,21464725
2013-01-01,ID,Idaho,19133225
2013-01-01,IL,Illinois,259211668
2013-01-01,IN,Indiana,56093548
2013-01-01,KS,Kansas,39895322
2013-01-01,KY,Kentucky,30570408
2013-01-01,LA,Luisiana,58049193
2013-01-01,MA,Massachusetts,9492873
2013-01-01,MD,Maryland,31855097
2013-01-01,ME,Maine,1918004
2013-01-01,MI,Michigan,40373004
2013-01-01,MN,Minnesota,71828277
2013-01-01,MO,Misuri,26816833
2013-01-01,MS,Mississipi,23245973
2013-01-01,MT,Montana,975621
2013-01-01,NC,Carolina Del Norte,132649076
2013-01-01,ND,Dakota Del Norte,3625420
2013-01-01,NE,Nebraska,22497815
2013-01-01,NH,Nuevo Hampshire,2848132
2013-01-01,NJ,Nueva Jersey,89916528
2013-01-01,NM,Nuevo Mexico,38907756
2013-01-01,NV,Nevada,61996394
2013-01-01,NY,Nueva York,200694085
2013-01-01,OH,Ohio,43093146
2013-01-01,OK,Oklahoma,51828383
2013-01-01,OR,Oregon,67164880
2013-01-01,PA,Pensilvania,45970181
2013-01-01,PR,Puerto Rico,299995
2013-01-01,RI,Rhode Island,2580926
2013-01-01,SC,Carolina Del Sur,57449641
2013-01-01,SD,Dakota Del Sur,3065886
2013-01-01,TN,Tennessee,66986932
2013-01-01,TX,Texas,670099246
2013-01-01,UT,Utah,47224343
2013-01-01,VA,Virginia,49386570
2013-01-01,VT,Vermont,974121
2013-01-01,WA,Washington,113102348
2013-01-01,WI,Wisconsin,42279023
2013-01-01,WV,West Virginia,3301347
2013-01-01,WY,Wyoming,7547462
2013-01-01,XX,No Identificado,436990916
2013-04-01,AK,Alaska,12480323
2013-04-01,AL,Alabama,60555131
2013-04-01,AR,Arkansas,44441293
2013-04-01,AZ,Arizona,134002384
2013-04-01,CA,California,1604162014
2013-04-01,CO,Colorado,144413040
2013-04-01,CT,Connecticut,21490941
2013-04-01,DC,"Washington, D.C.",4131165
2013-04-01,DE,Delaware,13283608
2013-04-01,FL,Florida,252123631
2013-04-01,GA,Georgia,204093170
2013-04-01,HI,Hawaii,3376702
2013-04-01,IA,Iowa,26442631
2013-04-01,ID,Idaho,29270080
2013-04-01,IL,Illinois,291064098
2013-04-01,IN,Indiana,77839652
2013-04-01,KS,Kansas,47294045
2013-04-01,KY,Kentucky,40414036
2013-04-01,LA,Luisiana,71809878
2013-04-01,MA,Massachusetts,12050370
2013-04-01,MD,Maryland,42718547
2013-04-01,ME,Maine,2892067
2013-04-01,MI,Michigan,48893595
2013-04-01,MN,Minnesota,84683095
2013-04-01,MO,Misuri,34431695
2013-04-01,MS,Mississipi,29467042
2013-04-01,MT,Montana,3905532
2013-04-01,NC,Carolina Del Norte,177421587
2013-04-01,ND,Dakota Del Norte,16638530
2013-04-01,NE,Nebraska,28045017
2013-04-01,NH,Nuevo Hampshire,3383470
2013-04-01,NJ,Nueva Jersey,120223092
2013-04-01,NM,Nuevo Mexico,44717922
2013-04-01,NV,Nevada,69292870
2013-04-01,NY,Nueva York,226635898
2013-04-01,OH,Ohio,60478154
2013-04-01,OK,Oklahoma,60130045
2013-04-01,OR,Oregon,82380786
2013-04-01,PA,Pensilvania,64778156
2013-04-01,PR,Puerto Rico,291274
2013-04-01,RI,Rhode Island,2925488
2013-04-01,SC,Carolina Del Sur,73835277
2013-04-01,SD,Dakota Del Sur,4181648
2013-04-01,TN,Tennessee,86410930
2013-04-01,TX,Texas,767076011
2013-04-01,UT,Utah,56420881
2013-04-01,VA,Virginia,64438131
2013-04-01,VT,Vermont,981136
2013-04-01,WA,Washington,139625544
2013-04-01,WI,Wisconsin,58624674
2013-04-01,WV,West Virginia,3391736
2013-04-01,WY,Wyoming,9007772
2013-04-01,XX,No Identificado,524792810
2013-07-01,AK,Alaska,12177580
2013-07-01,AL,Alabama,45960645
2013-07-01,AR,Arkansas,40630385
2013-07-01,AZ,Arizona,110283953
2013-07-01,CA,California,1394922354
2013-07-01,CO,Colorado,137060057
2013-07-01,CT,Connecticut,16659558
2013-07-01,DC,"Washington, D.C.",3024256
2013-07-01,DE,Delaware,12790885
2013-07-01,FL,Florida,195354864
2013-07-01,GA,Georgia,160649500
2013-07-01,HI,Hawaii,2875890
2013-07-01,IA,Iowa,27856298
2013-07-01,ID,Idaho,27114834
2013-07-01,IL,Illinois,239410865
2013-07-01,IN,Indiana,67205154
2013-07-01,KS,Kansas,43958617
2013-07-01,KY,Kentucky,42884543
2013-07-01,LA,Luisiana,64791622
2013-07-01,MA,Massachusetts,10957485
2013-07-01,MD,Maryland,38270653
2013-07-01,ME,Maine,1230947
2013-07-01,MI,Michigan,51726761
2013-07-01,MN,Minnesota,92339578
2013-07-01,MO,Misuri,34746794
2013-07-01,MS,Mississipi,28283845
2013-07-01,MT,Montana,2187365
2013-07-01,NC,Carolina Del Norte,169840425
2013-07-01,ND,Dakota Del Norte,8187431
2013-07-01,NE,Nebraska,27335851
2013-07-01,NH,Nuevo Hampshire,3122675
2013-07-01,NJ,Nueva Jersey,107066488
2013-07-01,NM,Nuevo Mexico,32955844
2013-07-01,NV,Nevada,59501634
2013-07-01,NY,Nueva York,193961088
2013-07-01,OH,Ohio,54318431
2013-07-01,OK,Oklahoma,57669281
2013-07-01,OR,Oregon,78452298
2013-07-01,PA,Pensilvania,57311697
2013-07-01,PR,Puerto Rico,213650
2013-07-01,RI,Rhode Island,2488400
2013-07-01,SC,Carolina Del Sur,60604338
2013-07-01,SD,Dakota Del Sur,4680853
2013-07-01,TN,Tennessee,80873011
2013-07-01,TX,Texas,648454611
2013-07-01,UT,Utah,48058716
2013-07-01,VA,Virginia,61768157
2013-07-01,VT,Vermont,928870
2013-07-01,WA,Washington,147106501
2013-07-01,WI,Wisconsin,49948483
2013-07-01,WV,West Virginia,2803156
2013-07-01,WY,Wyoming,9745647
2013-07-01,XX,No Identificado,760826477
2013-10-01,AK,Alaska,9568414
2013-10-01,AL,Alabama,45338249
2013-10-01,AR,Arkansas,37542615
2013-10-01,AZ,Arizona,110051938
2013-10-01,CA,California,1488382782
2013-10-01,CO,Colorado,134186309
2013-10-01,CT,Connecticut,15762427
2013-10-01,DC,"Washington, D.C.",2591819
2013-10-01,DE,Delaware,11639270
2013-10-01,FL,Florida,227377034
2013-10-01,GA,Georgia,157077369
2013-10-01,HI,Hawaii,2546441
2013-10-01,IA,Iowa,26811388
2013-10-01,ID,Idaho,25936752
2013-10-01,IL,Illinois,296802968
2013-10-01,IN,Indiana,64270773
2013-10-01,KS,Kansas,44126241
2013-10-01,KY,Kentucky,43846911
2013-10-01,LA,Luisiana,65849175
2013-10-01,MA,Massachusetts,10532636
2013-10-01,MD,Maryland,35011496
2013-10-01,ME,Maine,618678
2013-10-01,MI,Michigan,42014616
2013-10-01,MN,Minnesota,186496091
2013-10-01,MO,Misuri,31964597
2013-10-01,MS,Mississipi,26332285
2013-10-01,MT,Montana,1314281
2013-10-01,NC,Carolina Del Norte,143254945
2013-10-01,ND,Dakota Del Norte,6319829
2013-10-01,NE,Nebraska,25602072
2013-10-01,NH,Nuevo Hampshire,3203892
2013-10-01,NJ,Nueva Jersey,99228647
2013-10-01,NM,Nuevo Mexico,32087102
2013-10-01,NV,Nevada,57893096
2013-10-01,NY,Nueva York,206423015
2013-10-01,OH,Ohio,51285269
2013-10-01,OK,Oklahoma,51975661
2013-10-01,OR,Oregon,76153701
2013-10-01,PA,Pensilvania,52841444
2013-10-01,PR,Puerto Rico,113097
2013-10-01,RI,Rhode Island,2342424
2013-10-01,SC,Carolina Del Sur,57588557
2013-10-01,SD,Dakota Del Sur,4133717
2013-10-01,TN,Tennessee,78554613
2013-10-01,TX,Texas,667019718
2013-10-01,UT,Utah,50132066
2013-10-01,VA,Virginia,54601504
2013-10-01,VT,Vermont,778805
2013-10-01,WA,Washington,137483729
2013-10-01,WI,Wisconsin,44851432
2013-10-01,WV,West Virginia,2467868
2013-10-01,WY,Wyoming,8741297
2013-10-01,XX,No Identificado,467151757
2014-01-01,AK,Alaska,7815548
2014-01-01,AL,Alabama,37970647
2014-01-01,AR,Arkansas,31268022
2014-01-01,AZ,Arizona,99932333
2014-01-01,CA,California,1329830660
2014-01-01,CO,Colorado,119977132
2014-01-01,CT,Connecticut,15313184
2014-01-01,DC,"Washington, D.C.",2609647
2014-01-01,DE,Delaware,8525153
2014-01-01,FL,Florida,199945256
2014-01-01,GA,Georgia,129284456
2014-01-01,HI,Hawaii,1887372
2014-01-01,IA,Iowa,22476706
2014-01-01,ID,Idaho,19935287
2014-01-01,IL,Illinois,276487635
2014-01-01,IN,Indiana,54850464
2014-01-01,KS,Kansas,37649058
2014-01-01,KY,Kentucky,29627948
2014-01-01,LA,Luisiana,50362520
2014-01-01,MA,Massachusetts,8646786
2014-01-01,MD,Maryland,28419719
2014-01-01,ME,Maine,398869
2014-01-01,MI,Michigan,37549541
2014-01-01,MN,Minnesota,184035131
2014-01-01,MO,Misuri,25077521
2014-01-01,MS,Mississipi,21554679
