Entidad,Ene-Mar 2003,Abr-Jun 2003,Jul-Sep 2003,Oct-Dic 2003,Ene-Mar 2004,Abr-Jun 2004,Jul-Sep 2004,Oct-Dic 2004,Ene-Mar 2005,Abr-Jun 2005,Jul-Sep 2005,Oct-Dic 2005,Ene-Mar 2006,Abr-Jun 2006,Jul-Sep 2006,Oct-Dic 2006,Ene-Mar 2007,Abr-Jun 2007,Jul-Sep 2007,Oct-Dic 2007,Ene-Mar 2008,Abr-Jun 2008,Jul-Sep 2008,Oct-Dic 2008,Ene-Mar 2009,Abr-Jun 2009,Jul-Sep 2009,Oct-Dic 2009,Ene-Mar 2010,Abr-Jun 2010,Jul-Sep 2010,Oct-Dic 2010,Ene-Mar 2011,Abr-Jun 2011,Jul-Sep 2011,Oct-Dic 2011,Ene-Mar 2012,Abr-Jun 2012,Jul-Sep 2012,Oct-Dic 2012,Ene-Mar 2013,Abr-Jun 2013,Jul-Sep 2013,Oct-Dic 2013,Ene-Mar 2014,Abr-Jun 2014,Jul-Sep 2014,Oct-Dic 2014,Ene-Mar 2015,Abr-Jun 2015,Jul-Sep 2015,Oct-Dic 2015,Ene-Mar 2016,Abr-Jun 2016,Jul-Sep 2016,Oct-Dic 2016,Ene-Mar 2017,Abr-Jun 2017,Jul-Sep 2017,Oct-Dic 2017,Ene-Mar 2018,Abr-Jun 2018,Jul-Sep 2018,Oct-Dic 2018,Ene-Mar 2019,Abr-Jun 2019,Jul-Sep 2019,Oct-Dic 2019,Ene-Mar 2020,Abr-Jun 2020,Jul-Sep 2020,Oct-Dic 2020,Ene-Mar 2021,Abr-Jun 2021,Jul-Sep 2021,Oct-Dic 2021,Ene-Mar 2022,Abr-Jun 2022,Jul-Sep 2022,Oct-Dic 2022,Ene-Mar 2023,Abr-Jun 2023
Aguascalientes,62.442901,58.705605,68.790372,70.328947,73.544189,82.321918,82.973286,75.99503,67.807962,77.984737,87.58523,89.207267,82.194562,100.485542,100.83641,95.871374,94.604411,99.288494,95.22796,83.902003,72.128112,87.448189,91.364256,81.393197,74.677433,75.458699,68.265351,63.810777,67.496496,79.104719,75.627329,71.693497,69.086685,79.407024,81.496164,76.332373,78.377291,96.899546,82.270705,75.120216,68.128242,81.693612,77.863044,77.914664,76.138815,83.492935,81.074173,83.171729,80.557037,88.203837,92.491419,86.974778,89.822214,100.213103,103.667008,102.245656,99.843963,110.000087,110.934442,112.569162,102.070945,126.251194,118.774293,126.151653,110.616285,129.680642,137.800242,127.578083,127.794199,135.271694,134.849657,141.987406,140.313635,177.719303,184.187698,194.324999,174.227177,217.740305,230.077474,230.717096,208.71991,246.261599
Baja California,28.595444,33.708389,44.375082,35.322436,34.45523,43.677391,45.677204,41.218827,52.400685,66.827984,70.209337,67.19735,68.569036,78.258122,80.241835,74.995492,75.943457,86.80395,90.091785,81.739994,77.875985,88.146819,89.007807,79.286179,73.854323,83.326998,86.491307,78.391325,77.084044,91.608506,92.42891,86.835197,89.240601,101.66371,107.154205,98.694298,97.140732,117.273692,122.534021,127.911454,137.063515,163.149659,163.407934,155.96067,145.344807,155.956442,159.450483,159.098361,152.986293,173.90162,182.647311,168.068749,169.1695,182.409318,177.072285,169.547242,173.05633,198.033349,209.038096,203.90349,192.445273,234.313258,232.813764,231.714043,210.514421,244.292954,257.051421,236.868769,264.116297,334.7347,332.686756,303.356315,301.155095,360.350242,372.211069,364.477148,320.752379,361.564551,376.207822,370.127591,342.363052,372.288778
Baja California Sur,3.987813,4.480667,6.098282,4.382727,3.709259,4.940045,4.949111,4.20239,5.28418,6.239538,6.413334,6.514495,6.556396,7.537465,7.314309,7.126082,6.968452,7.993575,8.75567,8.288809,7.735521,8.729348,9.058081,9.173793,8.160492,8.05469,8.106682,7.598338,8.662163,8.546359,8.258616,8.278266,8.108283,9.358879,9.9774,9.206303,9.440246,10.611531,10.185791,11.118542,9.765121,11.124198,10.626177,14.243118,10.068973,11.426628,12.197513,12.891134,11.551702,12.924318,13.393749,13.326442,12.905994,14.283452,14.868026,13.328571,14.992354,16.251022,17.451646,17.816381,17.443067,20.053411,19.816018,21.165185,19.249927,23.014139,22.966336,23.106133,22.296421,24.939712,34.848827,29.468485,29.323112,34.500075,34.862434,35.111487,34.440054,43.017977,68.895905,67.617763,54.502638,49.724208
Campeche,8.909331,14.266795,16.575863,11.856838,10.390078,14.047975,14.938981,13.923963,13.129019,17.407572,17.31552,17.874002,18.240355,22.270553,21.499297,19.998332,18.336803,21.085687,21.475094,19.51675,16.592684,20.210986,18.846679,17.13278,14.79712,14.669213,13.940193,12.41839,13.084746,14.79718,14.300268,12.873178,12.896508,15.523915,15.858547,13.536742,13.428197,15.919297,13.741329,12.531981,11.611991,14.561329,13.788767,14.938332,12.298241,15.144169,14.690712,13.634041,12.882829,14.90607,14.903988,13.854517,14.27437,16.725577,17.188945,16.954706,17.510587,19.030985,19.462936,19.163849,16.948892,20.604286,20.875961,20.873499,18.912504,23.789707,24.256439,21.803847,23.913963,25.401402,35.347471,30.554975,29.303137,37.388688,40.335626,40.452971,33.840277,41.368133,42.315086,41.113619,37.39639,45.951113
Coahuila,28.997638,34.496313,38.971402,37.365716,34.721799,45.390288,47.834245,52.089796,52.114722,62.037223,63.070191,63.54185,63.400685,73.795316,71.706551,66.424262,66.540094,78.702641,76.948166,71.047482,65.010495,76.545392,70.607247,66.199007,60.74061,61.430482,58.933017,53.063475,58.053165,60.919715,59.291273,55.74535,55.215218,64.979128,64.817897,61.956976,62.910208,74.855799,75.147707,70.595634,75.680203,87.762498,84.815607,78.934053,79.451368,92.114484,120.720179,99.969285,92.009657,112.705725,100.783957,95.415275,93.432608,106.691582,108.036147,111.940488,109.980802,126.067851,131.003963,153.354124,135.79185,152.312793,148.756191,152.108742,139.659681,165.770636,171.049524,163.786035,160.594368,183.238986,182.513096,184.859066,183.563789,228.903309,244.235232,247.522275,220.066629,263.175775,274.394011,291.888261,252.43071,266.980733
Colima,24.30478,26.426165,25.99991,27.008749,29.546547,33.803616,34.331093,36.664217,38.514981,42.418478,42.041105,42.102486,42.981713,47.869547,46.790169,45.457968,47.92533,55.183969,51.177891,45.375808,42.744752,47.535778,46.14477,48.23763,45.363079,41.899791,40.100155,37.441337,40.893901,44.884304,43.641986,42.098064,44.024704,46.242287,47.811401,45.743926,45.76174,50.698273,42.661853,41.048121,41.359164,49.928464,46.258725,45.757923,45.355939,45.907003,68.73868,56.7713,57.334439,61.424845,55.857198,54.02852,56.105755,61.609437,63.885896,70.554751,65.20892,75.510484,77.240762,85.511313,83.46244,83.37194,73.543871,81.569036,67.469115,76.904628,79.515195,80.040892,83.223709,86.615886,85.732379,92.65768,95.73331,109.585319,111.345004,118.179212,106.605309,108.499161,117.713973,130.6061,114.946915,122.344242
Chiapas,86.783959,108.890042,117.88606,121.568826,108.118457,162.049972,166.651033,150.730233,148.349841,202.884943,209.602422,204.501292,206.068383,264.063495,246.881354,223.821727,202.343221,243.548373,254.063752,221.196631,183.933714,225.104401,215.994575,186.089191,151.934382,165.114294,161.390805,131.293598,122.409125,163.937922,157.488447,130.620021,131.192627,168.396729,161.901355,133.337354,137.611799,169.696704,138.147577,127.278454,115.382479,138.582274,129.00622,118.879041,124.892249,146.025115,108.485292,122.698693,127.403262,135.406504,160.027001,153.933187,145.851695,144.81829,143.77849,142.146298,153.376118,160.525176,166.437302,168.53041,169.125264,211.062399,215.464983,224.888371,222.772814,279.862245,268.568605,235.85562,250.527171,255.633434,317.525763,319.137674,345.465386,444.28629,533.977335,569.722915,603.003887,763.257463,846.30969,940.609548,958.111878,1097.440791
Chihuahua,50.514965,58.35475,67.935231,59.869103,57.047462,76.373819,77.639047,68.361163,81.096145,103.712029,102.527752,101.852196,113.833444,130.13346,119.057963,110.905709,105.446263,115.229977,121.765176,117.776334,112.852011,128.926123,120.484542,112.527836,107.497804,105.951472,101.541119,92.834528,97.841687,105.889948,100.268186,93.841995,97.43267,109.347519,109.546125,102.970918,107.714204,130.172395,118.721705,110.210753,121.426553,138.46512,134.564376,124.760481,133.355791,147.688857,128.300396,144.854684,141.704163,177.764589,172.896558,160.409711,163.892526,183.359508,184.989127,173.197184,187.775348,205.588884,211.991938,220.294086,204.503542,263.557306,261.220513,262.559822,249.088317,302.199733,305.70953,277.531753,285.027303,349.113671,335.823449,308.765372,338.526464,412.683874,433.155996,403.85746,345.055824,428.615348,435.977192,420.798106,398.717192,418.228476
Ciudad de México,159.743934,203.413228,236.972521,214.629357,187.377628,251.225864,247.425263,235.643658,253.32761,328.847335,347.55361,382.921387,394.79336,386.193708,362.883738,346.522511,248.276884,269.944833,274.56222,265.777704,248.253913,289.103711,269.470841,277.033942,247.7919,249.689118,244.382159,223.991627,224.287213,267.190065,262.129569,245.672102,250.744495,297.977706,311.559678,291.642694,287.157112,300.202719,240.100622,186.101966,299.54897,380.181129,367.114859,347.74837,406.764118,436.549269,341.097161,329.539121,252.395166,266.957797,269.613535,284.308829,314.006531,359.005184,370.836671,365.452824,308.103518,327.346568,339.272757,331.211915,302.822456,379.085477,345.495889,409.82746,383.068257,443.665764,458.422414,438.508992,480.165188,498.411246,584.54091,578.398294,610.183115,715.867884,787.31455,829.509381,687.502129,805.879599,850.425513,811.983276,750.292716,885.227069
Durango,56.226419,68.015871,70.740465,67.503989,67.091139,87.509399,88.886368,86.180382,83.636042,104.577766,102.136221,93.950638,95.731187,116.913434,111.679628,104.171705,102.943463,119.178682,119.88968,111.041889,102.694929,120.958233,112.851315,105.496845,97.55776,99.268327,93.563796,84.396923,84.447294,103.776727,97.708529,93.169985,93.265954,110.645719,111.049562,101.65819,100.599059,119.633501,108.892522,101.964534,100.401178,122.890422,119.288475,116.330939,106.288692,124.996108,130.538322,129.146353,117.14089,196.537682,145.866556,133.918027,128.510308,154.97734,163.902846,156.575896,149.285534,181.283388,194.59271,190.110287,159.775243,218.420137,218.542395,212.151159,178.791487,226.29487,248.198693,226.193472,214.72686,240.855342,246.266785,253.399613,246.082677,323.05484,334.608128,339.873685,275.766448,346.157616,365.786784,359.416826,297.708679,358.358503
