País,Ene-Mar 2013,Abr-Jun 2013,Jul-Sep 2013,Oct-Dic 2013,Ene-Mar 2014,Abr-Jun 2014,Jul-Sep 2014,Oct-Dic 2014,Ene-Mar 2015,Abr-Jun 2015,Jul-Sep 2015,Oct-Dic 2015,Ene-Mar 2016,Abr-Jun 2016,Jul-Sep 2016,Oct-Dic 2016,Ene-Mar 2017,Abr-Jun 2017,Jul-Sep 2017,Oct-Dic 2017,Ene-Mar 2018,Abr-Jun 2018,Jul-Sep 2018,Oct-Dic 2018,Ene-Mar 2019,Abr-Jun 2019,Jul-Sep 2019,Oct-Dic 2019,Ene-Mar 2020,Abr-Jun 2020,Jul-Sep 2020,Oct-Dic 2020,Ene-Mar 2021,Abr-Jun 2021,Jul-Sep 2021,Oct-Dic 2021,Ene-Mar 2022,Abr-Jun 2022,Jul-Sep 2022,Oct-Dic 2022,Ene-Mar 2023
Total,5040.32825,6097.029194,5672.235076,5493.158621,5459.726963,6166.77684,5967.58321,6053.19688,5723.617151,6353.255626,6543.166192,6164.733662,6205.84926,6961.825225,6891.984241,6933.622843,6908.260363,7651.620355,7706.799797,8023.864458,7186.923417,9057.562808,8459.465243,8973.275697,7944.758122,9506.229107,9788.668822,9199.101987,9397.570459,9891.870809,10676.01737,10639.095318,10615.476633,13031.693608,13702.749337,14235.94745,12521.968501,14993.703798,15462.055579,15531.971797,13970.353149
Afganistán,0.00096,0.000979,0,0.003328,0.002479,0.000544,0,0.001668,0.012744,0.002353,0.003962,0.007792,0.003592,0.005483,0.004738,0.002438,0.001803,0.000102,0.001406,0.000928,0.000365,0.003053,0.000668,0.003127,0.00241,0.006428,0.00053,0,0.001596,0.000252,0.000123,0.001371,0.000208,0.001866,0.000422,0,0,0.006399,0.009746,0.27977,0.29996
Albania,0.005375,0.002609,0.009435,0.027682,0.014587,0.010071,0.012473,0.004484,0.012784,0.00174,0.003714,0.005392,0.001555,0.00773,0.00944,0.008888,0.003544,0.002323,0.010758,0.010844,0.002546,0.019108,0.014179,0.01347,0.007138,0.006491,0.00567,0.005554,0.004357,0.006385,0.000869,0.003528,0.002855,0.004203,0.002285,0.001785,0.010944,0.002208,0.004465,0.006214,0.003771
Alemania,0.808244,0.956127,0.787737,0.691994,0.560594,0.598796,1.407891,0.516433,1.26418,3.472006,3.708628,3.870701,3.74385,3.707534,3.332551,3.667614,3.404648,4.224793,4.502793,5.407018,5.508888,4.878703,6.25818,6.871013,6.162777,6.663736,7.041278,7.801517,7.390869,6.692659,7.676331,8.288904,8.261712,8.852029,12.174753,10.157866,9.116183,9.692502,5.255331,5.664493,5.620076
Angola,0.049502,0.062685,0.043369,0.118248,0.112139,0.079658,0.066761,0.035647,0.004415,0.001725,0.002142,0.01119,0.00383,0.002845,0.000463,0.000567,0.000976,0.000733,0.001346,0,0.001903,0.003334,0,0,0,0,0,0,0,0,0,0,0.000413,0.000323,0.000799,0.000974,0,0.003711,0.001208,0.016266,0.035705
Anguila,0,0.000101,0,0.00128,0.003401,0.000977,0.000758,0.000916,0.000976,0.001241,0.000959,0.000939,0.004541,0.001528,0.001845,0.00325,0.004089,0.00441,0.002362,0.001644,0.000186,0.000064,0.01236,0.052859,0,0.00266,0.002898,0.000187,0.002897,0.000057,0.001468,0.000452,0.000761,0.005046,0.031436,0.040294,0.041495,0.014053,0.000175,0.000522,0.000271
Antigua y Barbuda,0.001735,0.00089,0.002056,0.002941,0.005147,0.001415,0.00344,0.000875,0.005246,0.001231,0.001766,0.002097,0.004592,0.001609,0.003207,0.005583,0.007465,0.00775,0.003327,0.000459,0.006739,0.003614,0.022419,0.008597,0.006557,0.006987,0.008,0.004635,0.002446,0.001967,0.002786,0.00236,0.002762,0.001074,0.001902,0.002245,0.001696,0.002896,0.003729,0.007039,0.008127
Antillas Holandesas,0.007684,0.005307,0.006629,0,0,0,0,0,0,0,0,0,0,0.000012,0.000492,0,0.00011,0.000013,0,0.000218,0.000104,0.002361,0.005587,0.006755,0.002974,0.001855,0.000275,0.002428,0.003572,0.001096,0.000984,0.001226,0.002123,0.000183,0,0.005192,0.001396,0.00062,0.00068,0.00185,0.001159
Arabia Saudita,0.043215,0.032155,0.048919,0.027504,0.018644,0.065771,0.059356,0.068932,0.33802,0.034347,0.040172,0.057518,0.110033,0.102055,0.097894,0.134895,0.144429,0.059369,0.091636,0.101177,0.064726,0.065372,0.064647,0.092664,0.109928,0.092984,0.082609,0.081697,0.070438,0.104953,0.112431,0.101048,0.10331,0.0853,0.107988,0.148751,0.123868,0.140519,0.17848,0.153451,0.125452
Argelia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
