Estado,Ene-Mar 2013,Abr-Jun 2013,Jul-Sep 2013,Oct-Dic 2013,Ene-Mar 2014,Abr-Jun 2014,Jul-Sep 2014,Oct-Dic 2014,Ene-Mar 2015,Abr-Jun 2015,Jul-Sep 2015,Oct-Dic 2015,Ene-Mar 2016,Abr-Jun 2016,Jul-Sep 2016,Oct-Dic 2016,Ene-Mar 2017,Abr-Jun 2017,Jul-Sep 2017,Oct-Dic 2017,Ene-Mar 2018,Abr-Jun 2018,Jul-Sep 2018,Oct-Dic 2018,Ene-Mar 2019,Abr-Jun 2019,Jul-Sep 2019,Oct-Dic 2019,Ene-Mar 2020,Abr-Jun 2020,Jul-Sep 2020,Oct-Dic 2020,Ene-Mar 2021,Abr-Jun 2021,Jul-Sep 2021,Oct-Dic 2021,Ene-Mar 2022,Abr-Jun 2022,Jul-Sep 2022,Oct-Dic 2022,Ene-Mar 2023
Total,4893.906067,5896.865144,5453.105778,5335.972388,5270.6292,6010.217794,5729.486334,5789.497893,5595.440127,6033.626765,6227.166007,5827.520623,5957.459358,6644.331712,6562.403638,6581.057232,6635.520566,7295.551646,7236.745497,7545.908564,6770.555089,8620.556953,7897.431349,8437.042602,7538.702576,9000.795293,9274.908893,8688.278808,8969.507072,9507.186474,10183.22867,10105.300342,10122.625701,12372.336627,12945.161764,13518.626369,11937.398824,14220.177077,14870.154719,14836.278044,13390.73361
Alabama,45.148325,58.655344,44.488281,43.777396,36.51363,41.356552,44.534106,42.6158,41.097546,52.456419,50.9018,48.146709,50.099652,57.2199,53.275548,54.243503,57.395979,62.152445,59.801312,62.383053,52.670447,74.602478,66.246933,70.567735,66.327362,78.792749,66.987734,61.038495,63.986737,65.22051,69.540548,71.756905,71.155917,82.870709,82.971075,86.207567,77.659577,96.743522,99.092017,104.029482,81.06865
Alaska,8.573561,12.08878,11.787467,9.239004,7.515648,9.064778,11.135896,9.712366,7.547761,11.146399,14.639557,9.752307,10.167609,10.037139,10.599515,9.342459,7.785573,9.003733,8.917128,9.20212,7.576514,9.933889,9.623478,9.810029,9.911689,11.370053,17.234666,12.01984,13.51279,19.643062,21.87879,18.405286,11.33218,8.872663,12.730087,9.441393,7.658245,9.210385,13.574619,9.354477,20.481722
Arizona,116.342116,129.798348,106.750971,106.263197,96.097711,104.757306,96.632439,101.286812,147.426996,143.424239,134.857593,137.359994,161.72711,163.018069,156.262128,163.480872,184.934463,178.746615,173.519341,182.504983,197.032531,215.136511,204.419444,211.06472,205.330858,239.086774,264.201824,278.705036,328.041703,402.681523,355.963432,357.950725,388.664061,445.481993,417.865653,476.274782,451.693851,507.511588,495.362879,516.757299,469.822073
Arkansas,37.216415,43.047043,39.328778,36.250141,30.0682,32.342742,37.513297,34.917146,32.591798,43.648251,48.99427,43.352226,44.44709,53.311005,53.03961,52.130181,50.175877,57.286993,55.384425,57.483286,48.537474,59.798898,51.316715,54.278086,49.124753,59.048596,61.015734,55.296569,50.462882,58.23637,65.126555,60.627362,51.216643,71.565068,75.109449,73.004559,56.797909,83.351314,96.33562,89.031877,78.636435
California,1348.103949,1553.834883,1350.235568,1437.142457,1278.802146,1325.858756,1361.100578,1382.178651,1598.951793,1827.226545,1812.062997,1777.544188,1915.799961,2040.834354,2009.391016,2032.846882,2073.520534,2228.447573,2205.538327,2328.277237,2128.889314,2655.181765,2395.639257,2634.525191,2359.648411,2763.683701,2789.776566,2709.139454,2939.934263,3051.541869,3314.530318,3371.984852,3458.125739,4071.04107,4176.129397,4544.39952,4084.488161,4691.449083,4777.631291,4878.100207,4471.953248
Colorado,112.63651,139.882392,132.669294,129.566698,115.373347,122.847822,145.3139,135.049609,113.284562,128.975503,146.842538,127.844362,126.369191,145.299532,159.967991,157.078537,149.959018,186.973863,182.047597,201.881141,180.24671,226.8624,230.974353,230.780216,203.876677,267.96332,288.665856,269.845992,250.22551,266.275251,262.191862,263.718862,238.128236,292.779453,302.627614,292.592678,237.266731,302.377357,340.001695,344.229812,263.444936
Connecticut,15.216068,20.816709,16.125864,15.219776,14.725584,17.690738,17.280526,15.233702,13.980705,18.785749,19.950484,18.126895,16.986159,20.504345,19.931289,19.852477,17.480507,20.893945,20.697822,20.50025,16.843846,22.920829,21.14502,21.999342,19.481633,23.371362,21.521456,21.131647,18.288954,17.336049,19.135359,18.870813,17.464224,23.276377,28.957638,24.266897,19.01851,26.686189,27.053318,30.155659,23.201206
Delaware,9.039924,12.866863,12.381125,11.238567,8.198024,9.641875,12.745282,11.516011,7.591421,11.28872,11.986901,10.14782,9.553395,12.383045,12.360048,11.118586,10.767506,12.64028,12.565041,11.774295,9.858573,13.880228,13.037244,12.768822,11.075754,14.304252,14.397666,11.978761,11.751241,12.451515,13.582441,12.760058,11.141724,14.459742,15.576005,14.716788,11.164181,15.087845,15.658882,15.371296,10.785101
Florida,210.335807,244.213795,189.096608,219.54916,192.272919,205.050448,200.402401,214.270067,199.382691,247.089363,227.921615,233.500167,253.302238,275.045854,248.531143,264.748229,296.870557,297.044708,262.863713,295.60652,289.216128,350.133819,296.953245,326.430921,316.767474,361.14467,332.934767,306.832445,356.863798,306.938071,302.876362,317.38593,368.835156,430.34946,382.527156,411.106919,414.220801,449.073593,431.244451,471.72792,316.004538
